number_plate,image_link,detected_number_plate,rider_violation,pillion_violation,mobile_usage,triple_riding,message,Result,Manual Observation,Capture Status,Capture Observation
KA55EC3232,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55EC3232_1763522582671.jpg,KA55EC3232,rider_not_wearing_helmet (0.61),,,,Violation detected,Incomplete,pillion not wearing helmet,None,
KA09JG0318,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JG0318_1763536383594.jpg,KA09JO0318,rider_not_wearing_helmet (0.76),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA55Y5897,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55Y5897_1763526201174.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,rider not wearing helmet,Ignored,
KA70E2423,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA70E2423_1763523746866.jpg,KA701E223,rider_not_wearing_helmet (0.45),,,,Violation detected,Incomplete,pillion not wearing helmet and wrong number plate detected,None,
KA51L4784,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA51L4784_1763522582694.jpg,KA556784,rider_not_wearing_helmet (0.74),pillion_not_wearing_helmet (0.30),,,Violation detected,Incomplete,wrong number plate detected,None,
KA09JB2008,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JB2008_1763523992167.jpg,KA0916200,rider_not_wearing_helmet (0.38),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA09HS5831,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HS5831_1763521806038.jpg,,,pillion_not_wearing_helmet (0.37),,,Violation detected,Incomplete,number plate not detected,None,
KA55Q6854,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55Q6854_1763523746820.jpg,,rider_not_wearing_helmet (0.62),,,,Violation detected,Incomplete,number plate not detected,None,
KA55Q6854,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55Q6854_1763523746820.jpg,,rider_not_wearing_helmet (0.32),,,,Violation detected,Incomplete,number plate not detected,None,
KA09ED0603,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09ED0603_1763522982175.jpg,KA09E00603,rider_not_wearing_helmet (0.57),,,,Violation detected,Correct Detection,rider not wearing helmet,None,
KA55U3176,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55U3176_1763523746970.jpg,KA55U3176,,pillion_not_wearing_helmet (0.53),,,Violation detected,Incomplete,rider not wearing helmet,None,
KA09HR0398,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HR0398_1763524231943.jpg,KA09HX0398,rider_not_wearing_helmet (0.61),,,,Violation detected,Correct Detection,rider not wearing helmet,None,
KA09JJ2913,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JJ2913_1763526991153.jpg,45U9638,,pillion_not_wearing_helmet (0.27),,,Violation detected,Incomplete,wrong number plate detected,None,
KA09HM7350,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HM7350_1763522035213.jpg,KA09HM7350,rider_not_wearing_helmet (0.77),,,,Violation detected,Correct Detection,rider not wearing helmet,None,
KA09EL2586,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EL2586_1763523505991.jpg,09FL3586,rider_not_wearing_helmet (0.52),,,,Violation detected,Incomplete,wrong number palte detect4ed,None,
KA09Y6411,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09Y6411_1763521570133.jpg,KA09Y6411,,,,triple_riding (0.69),Violation detected,Incomplete,pillion not wearing helmet,None,
KA09HF5289,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HF5289_1763528844427.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,both rider and pillion wearing the helmet,Correct,
KA45U6050,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA45U6050_1763522034938.jpg,,rider_not_wearing_helmet (0.48),,,,Violation detected,Incomplete,number plate not detected,None,
KA42L3256,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA42L3256_1763523400348.jpg,AJ21225,rider_not_wearing_helmet (0.65),,,,Violation detected,Incomplete,wrong number plate detected and pillion not wearing helmet,None,
KA09JD3576,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JD3576_1763522389719.jpg,KA09J035761,rider_not_wearing_helmet (0.38),pillion_not_wearing_helmet (0.43),,,Violation detected,Incomplete,wrong number plate detected,None,
KA09HF0834,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HF0834_1763521114945.jpg,KA09HF0834,rider_not_wearing_helmet (0.69),,,,Violation detected,Correct Detection,rider not wearing helmet,None,
KA55U3554,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55U3554_1763525463610.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,both rider and pillion wearing the helmet,Correct,
KA09ED9000,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09ED9000_1763525060771.jpg,09ED9000,rider_not_wearing_helmet (0.77),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA55U4570,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55U4570_1763525248924.jpg,KA55U07570,rider_not_wearing_helmet (0.77),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA51AB0674,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA51AB0674_1763523400382.jpg,A51AB0674,rider_not_wearing_helmet (0.69),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA09HA0402,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HA0402_1763522582688.jpg,KA09HA0402,rider_not_wearing_helmet (0.58),,,,Violation detected,Incomplete,pillion not wearing helmet and triple riding,None,
KA41V9063,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA41V9063_1763523505883.jpg,KAZIV9063,rider_not_wearing_helmet (0.57); rider_not_wearing_helmet (0.32),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA02JZ2829,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA02JZ2829_1763524836019.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,pillion not wearing helmet and number plate not detected,Ignored,
KA09EV9811,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EV9811_1763522825671.jpg,KA09EV9811,rider_not_wearing_helmet (0.58),,,,Violation detected,Correct Detection,rider not wearing helmet,None,
KA11EA9089,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA11EA9089_1763538194426.jpg,KA11EA9089,,pillion_not_wearing_helmet (0.73),,,Violation detected,Incomplete,rider not wearing helmet,None,
KA09JB3001,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JB3001_1763523665722.jpg,KA09JL900,rider_not_wearing_helmet (0.67),,,,Violation detected,Incomplete,pillion not wearing helmet and wrong number plate detected,None,
KA09JJ3935,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JJ3935_1763522389719.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,rider not wearing helmet and number plate not detected,Ignored,
KA09HE0575,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HE0575_1763523164272.jpg,KA09HE9575,rider_not_wearing_helmet (0.73),pillion_not_wearing_helmet (0.52),,,Violation detected,Incomplete,wrong number plate detected,None,
KA01EK1111,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA01EK1111_1763523400615.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,number plate is broken but both are wearing helmet,Correct,
KA09EY5733,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EY5733_1763523991885.jpg,KA09EY5733,rider_not_wearing_helmet (0.71),,,,Violation detected,Correct Detection,rider not wearing helmet,None,
KA55K5727,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55K5727_1763537093537.jpg,KA5555727,,pillion_not_wearing_helmet (0.54),,,Violation detected,Incomplete,wrong number plate detected,None,
KA09HQ4576,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HQ4576_1763524381802.jpg,KA09HQE376,rider_not_wearing_helmet (0.46),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA04EX4642,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA04EX4642_1763524835799.jpg,KA09EX416,rider_not_wearing_helmet (0.43),,,,Violation detected,Incomplete,wrong number plate detected and number plate is not visible clearly,None,
KA45EC8995,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA45EC8995_1763523991765.jpg,KA45ECB95,rider_not_wearing_helmet (0.72),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA45EA4666,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA45EA4666_1763525060768.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,rider not wearing helmet and number plate not detected,Ignored,
KA09EL3540,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EL3540_1763543013502.jpg,KA091EL7586,rider_not_wearing_helmet (0.64),,,,Violation detected,Incomplete,number plate not visible clearly,None,
KA55W8301,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55W8301_1763530431683.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,rider wearing helmet,Correct,
KA09JJ5411,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JJ5411_1763521419488.jpg,KA09JT5219,rider_not_wearing_helmet (0.74),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA04KD4108,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA04KD4108_1763522874272.jpg,KA04KD4108,rider_not_wearing_helmet (0.73),,,,Violation detected,Correct Detection,rider not wearing helmet,None,
KA09HT2745,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HT2745_1763548708358.jpg,KA02HT2745,rider_not_wearing_helmet (0.59),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA09EW5258,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EW5258_1763523164234.jpg,KA09EW5258,rider_not_wearing_helmet (0.76),pillion_not_wearing_helmet (0.44),,,Violation detected,Correct Detection,both rider and pillion not wearing helmet,None,
KA09EW5258,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EW5258_1763523164234.jpg,,,pillion_not_wearing_helmet (0.47),,,Violation detected,Incomplete,wrong number plate detected,None,
KA09HB9082,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HB9082_1763524428250.jpg,HP9082,rider_not_wearing_helmet (0.77),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA09HS1133,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HS1133_1763538194574.jpg,,rider_not_wearing_helmet (0.32),,,,Violation detected,Incomplete,number plate not detected,None,
KA09HJ4660,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HJ4660_1763522389718.jpg,AP03HU6560,rider_not_wearing_helmet (0.78),,,,Violation detected,Incomplete,wrong number plate detected and pillion not wearing helmet,None,
KA09HD3748,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HD3748_1763523746934.jpg,KA09HD3748,,pillion_not_wearing_helmet (0.71),,,Violation detected,Correct Detection,pillion not wearing helmet,None,
KA09JF8502,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JF8502_1763522389770.jpg,KA09JF8502,,pillion_not_wearing_helmet (0.65),,,Violation detected,Correct Detection,pillion not wearing helmet,None,
KA09JG9827,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JG9827_1763522389734.jpg,KA09JG9827,rider_not_wearing_helmet (0.73),,,,Violation detected,Correct Detection,rider not wearing helmet,None,
KA09JB8046,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JB8046_1763523164067.jpg,KA09JR8046,rider_not_wearing_helmet (0.32),pillion_not_wearing_helmet (0.57),,,Violation detected,Wrong,there is no pillion rider,None,
KA09ER1604,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09ER1604_1763522034958.jpg,KA09ER1604,rider_not_wearing_helmet (0.57),pillion_not_wearing_helmet (0.65),,,Violation detected,Correct Detection,both rider and pillion not wearing helmet,None,
KA09EF5185,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EF5185_1763523164066.jpg,KAMEF5185,rider_not_wearing_helmet (0.64),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA55S4670,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55S4670_1763521196708.jpg,KA5554670,,pillion_not_wearing_helmet (0.18),,,Violation detected,Incomplete,wrong number plate detected,None,
KA09JJ8908,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JJ8908_1763548708327.jpg,KA09HJ8908,,pillion_not_wearing_helmet (0.54),,,Violation detected,Correct Detection,pillion not wearing helmet,None,
KA09EZ4608,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EZ4608_1763522982189.jpg,KA09E24608,rider_not_wearing_helmet (0.66),,,,Violation detected,Incomplete,wrong number plate detected and pillion not wearing helmet,None,
KA55X0687,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55X0687_1763524616546.jpg,KA55X0687,rider_not_wearing_helmet (0.62),pillion_not_wearing_helmet (0.47),,,Violation detected,Incomplete,not detected triple riding ,None,
KA55J9074,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55J9074_1763526154619.jpg,,rider_not_wearing_helmet (0.57),,,,Violation detected,Incomplete,number plate not detected,None,
KA10L0067,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA10L0067_1763524835770.jpg,KA10L0067,rider_not_wearing_helmet (0.28),,,,Violation detected,Correct Detection,rider not wearing helmet,None,
KA09EX1461,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EX1461_1763524381625.jpg,KA09EXUECO,,,,triple_riding (0.76),Violation detected,Wrong,both rider and pillion not wearing helmet and wrong number plate detected,None,
KA09HZ4312,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HZ4312_1763522389803.jpg,KA09HZ4312,,pillion_not_wearing_helmet (0.60),,,Violation detected,Correct Detection,pilliion not wearing helemet,None,
KA45X1414,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA45X1414_1763548927835.jpg,KA453414,rider_not_wearing_helmet (0.65),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA09JD8973,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JD8973_1763521923235.jpg,KA091UB973,rider_not_wearing_helmet (0.49),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA09S7679,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09S7679_1763521923247.jpg,KA0957679,rider_not_wearing_helmet (0.63),,,,Violation detected,Incomplete,wrong number plate and pillion not wearing helmet,None,
KA04HG9629,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA04HG9629_1763523400657.jpg,,rider_not_wearing_helmet (0.44),,,,Violation detected,Incomplete,number plate not detected,None,
KA09H3519,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09H3519_1763548067995.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,rider wearing helemt,Correct,
KA55S5671,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55S5671_1763523665679.jpg,KA55S5671,rider_not_wearing_helmet (0.77),,,,Violation detected,Correct Detection,rider not wearing helmet,None,
KA09EQ3426,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EQ3426_1763525119352.jpg,A09EFQ3426,rider_not_wearing_helmet (0.78),,,,Violation detected,Incomplete,wrong number plate and pillion not wearing helmet,None,
KA01EF9629,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA01EF9629_1763523746819.jpg,KA01EF9629,rider_not_wearing_helmet (0.71),,,,Violation detected,Incomplete,pillion not wearing helmet,None,
KA09HL4429,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HL4429_1763521419467.jpg,,,,,triple_riding (0.68),Violation detected,Wrong,rider not wearing helmet and number plate not detected,None,
KA09EQ6710,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EQ6710_1763525248988.jpg,KA09EO6710,rider_not_wearing_helmet (0.75),pillion_not_wearing_helmet (0.40),,,Violation detected,Incomplete,wrong number plate detected,None,
KA09EX4598,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EX4598_1763522982235.jpg,KA09EX4598,rider_not_wearing_helmet (0.76),,,,Violation detected,Correct Detection,rider not wearing helmet,None,
KA09HA4963,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HA4963_1763521709717.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,rider not wearing helmet and number plate not detected,Ignored,
KA06HN7506,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA06HN7506_1763524083082.jpg,KA06HK4506,rider_not_wearing_helmet (0.73),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA09JE2175,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JE2175_1763524324214.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,both rider and pillion wearing the helmet,Correct,
KA09EH1330,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EH1330_1763524489618.jpg,KAUTHEND,rider_not_wearing_helmet (0.66),pillion_not_wearing_helmet (0.44),,,Violation detected,Wrong,wrong number plate and rider not wearing helemt and no pillion rider,None,
KA09JJ8130,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JJ8130_1763521196552.jpg,KA09JG8130,,pillion_not_wearing_helmet (0.63),,,Violation detected,Incomplete,rider not wearing helmet,None,
KA03HU4092,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA03HU4092_1763522034938.jpg,KA034HU40292,,pillion_not_wearing_helmet (0.59),,,Violation detected,Incomplete,wrong number plate,None,
KA09Q6984,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09Q6984_1763522671696.jpg,KA09Q6984,,,,triple_riding (0.23),Violation detected,Incomplete, both rider and pillion not wearing helmet,None,
KA09JA5311,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JA5311_1763523991955.jpg,KA09JL5351,,pillion_not_wearing_helmet (0.60),,,Violation detected,Correct Detection,"Rider wearing helmet,pillion not wearing helmet, actually there are two pillion sitting behind the rider but model detected only one pillion",None,
KA09JA7754,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JA7754_1763523665393.jpg,,,,,triple_riding (0.58),Violation detected,Wrong,"wrongly detected triple riding,pillion not wearing helmet,number plate not detected",None,
KA14EY0605,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA14EY0605_1763524231999.jpg,KA14EY0605,rider_not_wearing_helmet (0.42),,,,Violation detected,Correct Detection,Rider not wearing helmet,None,
KA09HC6418,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HC6418_1763525463485.jpg,KA09HC643,rider_not_wearing_helmet (0.75),pillion_not_wearing_helmet (0.67),,,Violation detected,Incomplete,both rider and pillion not wearing helmet and number plate is incomplete,None,
KA09HA0235,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HA0235_1763524836085.jpg,KA558188,rider_not_wearing_helmet (0.66),,,,Violation detected,Incomplete,"rider not wearing helmet, Number plate is wrong",None,
KA09HA0200,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HA0200_1763522302481.jpg,KA09HA0200,,pillion_not_wearing_helmet (0.44),,,Violation detected,Correct Detection,"Rider wearing helmet,pillion not wearing helmet, actually there are two pillion sitting behind the rider but model detected only one pillion",None,
KA09HC4994,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HC4994_1763528027431.jpg,KA09HC1944,rider_not_wearing_helmet (0.66),,,,Violation detected,Correct Detection,Rider not wearing helemt,None,
KA09HL3136,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HL3136_1763522671646.jpg,KA09HT3136,rider_not_wearing_helmet (0.73),,,,Violation detected,Incomplete,wrong number plate detected,None,
